iter	Passed	Remaining
0	0	70
1	1	64
2	1	61
3	2	58
4	3	60
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	53
13	8	53
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	47
23	15	47
24	15	47
25	16	47
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	32	31
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
