iter	Passed	Remaining
0	72	72884
1	73	36741
2	74	24664
3	74	18625
4	75	15002
5	75	12587
6	76	10860
7	77	9585
8	78	8595
9	78	7799
10	79	7136
11	79	6583
12	80	6115
13	81	5714
14	81	5366
15	82	5060
16	82	4797
17	83	4564
18	84	4354
19	84	4161
20	85	3986
21	86	3827
22	86	3682
23	87	3549
24	87	3426
25	88	3312
26	88	3206
27	89	3114
28	90	3026
29	90	2941
30	91	2862
31	92	2787
32	92	2718
33	93	2651
34	93	2589
35	94	2530
36	95	2474
37	95	2425
38	96	2383
39	97	2336
40	97	2291
41	98	2248
42	99	2206
43	99	2166
44	100	2128
45	100	2091
46	101	2057
47	102	2029
48	102	1998
49	103	1968
50	104	1938
51	104	1909
52	105	1882
53	105	1855
54	106	1829
55	107	1804
56	107	1780
57	108	1758
58	108	1737
59	109	1717
60	110	1698
61	110	1678
62	111	1658
63	112	1639
64	112	1620
65	113	1602
66	113	1584
67	114	1568
68	115	1553
69	115	1538
70	116	1524
71	117	1509
72	117	1495
73	118	1481
74	119	1467
75	119	1455
76	120	1444
77	121	1434
78	122	1422
79	122	1411
80	123	1399
81	123	1387
82	124	1372
83	124	1360
84	125	1349
85	125	1338
86	126	1329
87	127	1320
88	128	1310
89	128	1300
90	129	1290
91	129	1281
92	130	1271
93	130	1262
94	131	1253
95	132	1244
96	132	1236
97	133	1228
98	134	1220
99	134	1212
100	135	1204
101	135	1196
102	136	1188
103	137	1180
104	137	1173
105	138	1165
106	138	1158
107	139	1152
108	140	1145
109	140	1138
110	141	1131
111	141	1125
112	142	1118
113	143	1111
114	143	1105
115	144	1099
116	144	1092
117	145	1086
118	146	1082
119	146	1076
120	147	1070
121	147	1063
122	148	1058
123	149	1052
124	149	1047
125	150	1041
126	150	1035
127	151	1030
128	152	1026
129	152	1021
130	153	1016
131	153	1011
132	154	1006
133	154	1001
134	155	996
135	156	991
136	156	987
137	157	982
138	158	979
139	158	974
140	159	970
141	159	964
142	160	960
143	160	956
144	161	952
145	162	947
146	162	943
147	163	939
148	163	935
149	164	933
150	165	929
151	165	925
152	166	921
153	167	918
154	167	914
155	168	910
156	168	906
157	169	903
158	170	900
159	170	897
160	171	892
161	171	889
162	172	885
163	173	882
164	173	878
165	174	875
166	174	872
167	175	868
168	176	865
169	176	863
170	177	860
171	178	857
172	178	853
173	179	850
174	179	847
175	180	844
176	180	841
177	181	838
178	182	835
179	182	832
180	183	830
181	184	827
182	184	824
183	185	821
184	185	818
185	186	815
186	187	813
187	187	810
188	188	807
189	188	804
190	189	803
191	190	800
192	190	798
193	191	795
194	192	792
195	192	790
196	193	787
197	193	784
198	194	782
199	194	779
200	195	778
201	196	775
202	196	773
203	197	770
204	198	768
205	198	765
206	199	763
207	199	760
208	200	758
209	200	755
210	201	754
211	202	752
212	202	749
213	203	747
214	204	745
215	204	743
216	205	740
217	205	738
218	206	736
219	206	733
220	207	732
221	208	730
222	209	728
223	209	726
224	210	724
225	210	722
226	211	720
227	212	717
228	212	715
229	213	713
230	213	712
231	214	710
232	215	709
233	215	707
234	216	705
235	217	703
236	217	701
237	218	698
238	218	696
239	219	694
240	220	693
241	220	692
242	221	690
243	222	688
244	222	687
245	223	685
246	224	683
247	224	681
248	225	679
249	225	677
250	226	676
251	227	674
252	227	672
253	228	670
254	228	668
255	229	666
256	230	665
257	230	663
258	231	661
259	231	659
260	232	658
261	233	657
262	233	655
263	234	653
264	235	651
265	235	650
266	236	648
267	236	646
268	237	644
269	237	643
270	238	641
271	239	640
272	239	638
273	240	637
274	241	635
275	241	633
276	242	632
277	242	630
278	243	629
279	243	627
280	244	625
281	245	624
282	245	623
283	246	621
284	247	619
285	247	618
286	248	616
287	248	615
288	249	613
289	250	612
290	250	610
291	251	609
292	251	608
293	252	606
294	253	605
295	254	604
296	254	602
297	255	601
298	255	599
299	256	598
300	256	596
301	257	595
302	258	594
303	258	592
304	259	591
305	260	590
306	260	588
307	261	587
308	261	585
309	262	584
310	263	582
311	263	581
312	264	580
313	265	579
314	265	577
315	266	576
316	266	574
317	267	573
318	268	572
319	268	570
320	269	569
321	269	568
322	270	567
323	271	565
324	271	564
325	272	563
326	272	561
327	273	560
328	274	559
329	274	557
330	275	556
331	275	555
332	276	554
333	277	552
334	277	551
335	278	550
336	279	548
337	279	547
338	280	546
339	280	545
340	281	543
341	282	542
342	282	541
343	283	540
344	284	540
345	285	539
346	285	538
347	286	536
348	287	535
349	287	534
350	288	532
351	288	531
352	289	530
353	290	529
354	290	528
355	291	527
356	291	525
357	292	524
358	293	523
359	293	522
360	294	521
361	295	519
362	295	519
363	296	517
364	297	516
365	297	515
366	298	514
367	298	513
368	299	512
369	300	511
370	300	510
371	301	509
372	302	508
373	303	507
374	303	506
375	304	505
376	304	503
377	305	502
378	306	501
379	306	500
380	307	499
381	308	498
382	308	497
383	309	496
384	309	495
385	310	493
386	311	492
387	311	491
388	312	490
389	312	489
390	313	488
391	314	487
392	314	486
393	315	485
394	316	484
395	316	482
396	317	481
397	317	480
398	318	479
399	318	478
400	319	477
401	320	476
402	320	475
403	321	474
404	322	473
405	322	472
406	323	470
407	323	469
408	324	468
409	324	467
410	325	466
411	326	465
412	326	464
413	327	463
414	327	462
415	328	461
416	329	460
417	329	459
418	330	458
419	330	456
420	331	455
421	332	454
422	332	453
423	333	452
424	334	451
425	334	450
426	335	449
427	335	448
428	336	447
429	336	446
430	337	445
431	338	444
432	338	443
433	339	442
434	339	441
435	340	440
436	341	439
437	341	438
438	342	437
439	342	436
440	343	435
441	344	434
442	344	433
443	345	432
444	346	431
445	346	430
446	347	429
447	347	428
448	348	427
449	349	426
450	349	425
451	350	424
452	350	423
453	351	422
454	352	421
455	352	420
456	353	419
457	354	418
458	354	417
459	355	416
460	355	415
461	356	414
462	356	413
463	357	413
464	358	412
465	358	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	362	405
472	363	404
473	363	403
474	364	402
475	365	401
476	365	400
477	366	399
478	366	398
479	367	397
480	367	396
481	368	396
482	369	395
483	369	394
484	370	393
485	371	392
486	371	391
487	372	390
488	372	389
489	373	388
490	374	387
491	374	386
492	375	385
493	375	384
494	376	384
495	377	383
496	377	382
497	378	381
498	378	380
499	379	379
500	379	378
501	380	377
502	381	376
503	381	375
504	382	374
505	383	374
506	383	373
507	384	372
508	384	371
509	385	370
510	386	369
511	386	368
512	387	367
513	387	366
514	388	365
515	389	364
516	389	364
517	390	363
518	391	362
519	391	361
520	392	360
521	393	359
522	393	359
523	394	358
524	394	357
525	395	356
526	396	355
527	396	354
528	397	353
529	397	352
530	398	352
531	399	351
532	399	350
533	400	349
534	401	348
535	401	347
536	402	346
537	402	346
538	403	345
539	404	344
540	404	343
541	405	342
542	405	341
543	406	340
544	407	339
545	407	339
546	408	338
547	408	337
548	409	336
549	410	335
550	410	334
551	411	333
552	411	332
553	412	332
554	413	331
555	413	330
556	414	329
557	415	328
558	415	327
559	416	327
560	416	326
561	417	325
562	417	324
563	418	323
564	419	322
565	419	321
566	420	320
567	421	320
568	421	319
569	422	318
570	422	317
571	423	316
572	424	316
573	424	315
574	425	314
575	425	313
576	426	312
577	427	311
578	427	311
579	428	310
580	428	309
581	429	308
582	430	307
583	430	306
584	431	305
585	431	305
586	432	304
587	433	303
588	433	302
589	434	301
590	434	300
591	435	300
592	436	299
593	436	298
594	437	297
595	437	296
596	438	295
597	439	295
598	439	294
599	440	293
600	441	292
601	441	292
602	442	291
603	442	290
604	443	289
605	444	288
606	444	287
607	445	287
608	445	286
609	446	285
610	447	284
611	447	283
612	448	283
613	449	282
614	449	281
615	450	280
616	450	279
617	451	279
618	452	278
619	452	277
620	453	276
621	454	275
622	454	275
623	455	274
624	455	273
625	456	272
626	457	271
627	457	271
628	458	270
629	458	269
630	459	268
631	460	267
632	460	267
633	461	266
634	461	265
635	462	264
636	462	263
637	463	263
638	464	262
639	464	261
640	465	260
641	466	259
642	466	259
643	467	258
644	467	257
645	468	256
646	469	255
647	469	255
648	470	254
649	471	253
650	471	252
651	472	252
652	472	251
653	473	250
654	474	249
655	474	248
656	475	248
657	475	247
658	476	246
659	477	245
660	477	245
661	478	244
662	478	243
663	479	242
664	480	241
665	480	241
666	481	240
667	481	239
668	482	238
669	483	238
670	483	237
671	484	236
672	484	235
673	485	234
674	486	234
675	486	233
676	487	232
677	487	231
678	488	230
679	489	230
680	489	229
681	490	228
682	490	227
683	491	227
684	492	226
685	492	225
686	493	224
687	493	223
688	494	223
689	495	222
690	495	221
691	496	220
692	496	220
693	497	219
694	498	218
695	498	217
696	499	217
697	499	216
698	500	215
699	501	214
700	501	214
701	502	213
702	502	212
703	503	211
704	504	210
705	504	210
706	505	209
707	505	208
708	506	207
709	507	207
710	507	206
711	508	205
712	508	204
713	509	204
714	510	203
715	510	202
716	511	201
717	511	201
718	512	200
719	513	199
720	513	198
721	514	198
722	514	197
723	515	196
724	516	195
725	516	194
726	517	194
727	517	193
728	518	192
729	519	191
730	519	191
731	520	190
732	521	189
733	521	189
734	522	188
735	523	187
736	523	186
737	524	186
738	524	185
739	525	184
740	526	183
741	527	183
742	527	182
743	528	181
744	529	181
745	529	180
746	530	179
747	530	178
748	531	178
749	532	177
750	532	176
751	533	175
752	534	175
753	534	174
754	535	173
755	535	172
756	536	172
757	537	171
758	537	170
759	538	170
760	539	169
761	539	168
762	540	167
763	540	167
764	541	166
765	542	165
766	542	164
767	543	164
768	543	163
769	544	162
770	545	161
771	545	161
772	546	160
773	547	159
774	547	159
775	548	158
776	548	157
777	549	156
778	550	156
779	550	155
780	551	154
781	552	153
782	552	153
783	553	152
784	553	151
785	554	150
786	555	150
787	555	149
788	556	148
789	556	148
790	557	147
791	558	146
792	558	145
793	559	145
794	560	144
795	560	143
796	561	142
797	561	142
798	562	141
799	563	140
800	563	140
801	564	139
802	565	138
803	565	137
804	566	137
805	566	136
806	567	135
807	567	134
808	568	134
809	569	133
810	570	132
811	570	132
812	571	131
813	571	130
814	572	129
815	572	129
816	573	128
817	574	127
818	574	127
819	575	126
820	576	125
821	577	124
822	577	124
823	578	123
824	578	122
825	579	122
826	580	121
827	580	120
828	581	119
829	582	119
830	582	118
831	583	117
832	584	117
833	584	116
834	585	115
835	585	114
836	586	114
837	587	113
838	587	112
839	588	112
840	589	111
841	589	110
842	590	109
843	590	109
844	591	108
845	592	107
846	592	107
847	593	106
848	594	105
849	594	104
850	595	104
851	596	103
852	596	102
853	597	102
854	597	101
855	598	100
856	599	99
857	599	99
858	600	98
859	601	97
860	601	97
861	602	96
862	602	95
863	603	94
864	604	94
865	604	93
866	605	92
867	605	92
868	606	91
869	607	90
870	607	90
871	608	89
872	608	88
873	609	87
874	610	87
875	610	86
876	611	85
877	611	85
878	612	84
879	613	83
880	613	82
881	614	82
882	615	81
883	615	80
884	616	80
885	616	79
886	617	78
887	617	77
888	618	77
889	619	76
890	619	75
891	620	75
892	621	74
893	621	73
894	622	73
895	622	72
896	623	71
897	623	70
